column,missing_count,missing_pct,dtype
WaterfrontYN,42624,99.94,object
TaxYear,42620,99.93,float64
TaxAnnualAmount,42502,99.65,float64
BuildingAreaTotal,36893,86.5,float64
SubdivisionName,27171,63.71,object
Stories,7848,18.4,float64
GarageSpaces,5706,13.38,float64
Levels,5162,12.1,object
NewConstructionYN,5138,12.05,object
PoolPrivateYN,4663,10.93,object
MLSAreaMajor,4538,10.64,object
ViewYN,4089,9.59,object
LotSizeAcres,3740,8.77,float64
FireplaceYN,3728,8.74,object
LotSizeSquareFeet,3613,8.47,float64
LotSizeArea,3572,8.37,float64
PropertySubType,3284,7.7,object
LivingArea,3042,7.13,float64
BedroomsTotal,2831,6.64,float64
BathroomsTotalInteger,1933,4.53,float64
YearBuilt,1910,4.48,float64
ParkingTotal,1289,3.02,float64
PurchaseContractDate,895,2.1,datetime64[ns]
Latitude,459,1.08,float64
Longitude,429,1.01,float64
BuyerOfficeName,376,0.88,object
ListAgentFirstName,165,0.39,object
BuyerAgentFirstName,149,0.35,object
OriginalListPrice,142,0.33,float64
ListPrice,66,0.15,float64
UnparsedAddress,66,0.15,object
ListAgentFullName,34,0.08,object
BuyerAgentLastName,31,0.07,object
PostalCode,15,0.04,object
City,8,0.02,object
ListingContractDate,7,0.02,datetime64[ns]
ListAgentLastName,5,0.01,object
ClosePrice,2,0.0,float64
CloseDate,0,0.0,datetime64[ns]
ContractStatusChangeDate,0,0.0,datetime64[ns]
CountyOrParish,0,0.0,object
DaysOnMarket,0,0.0,int64
ListOfficeName,0,0.0,object
ListingId,0,0.0,object
ListingKey,0,0.0,int64
ListingKeyNumeric,0,0.0,int64
MlsStatus,0,0.0,object
PropertyType,0,0.0,object
SourceMonth,0,0.0,object
StateOrProvince,0,0.0,object
implausible_coord_flag,0,0.0,bool
invalid_bathrooms_flag,0,0.0,bool
invalid_bedrooms_flag,0,0.0,bool
invalid_closeprice_flag,0,0.0,bool
invalid_dom_flag,0,0.0,bool
invalid_livingarea_flag,0,0.0,bool
listing_after_close_flag,0,0.0,bool
missing_coord_flag,0,0.0,bool
negative_timeline_flag,0,0.0,bool
positive_longitude_flag,0,0.0,bool
purchase_after_close_flag,0,0.0,bool
zero_coord_flag,0,0.0,bool
